Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
148,92,140,80
164,96,200,112
114,70,132,78
108,68,112,70
98,60,98,60
130,68,130,72
108,68,106,60
162,108,176,102
122,74,134,82
140,82,142,90
134,78,140,84
112,80,106,68
166,106,158,90
130,94,128,86
130,68,120,74
124,74,138,80
128,88,122,92
132,88,124,76
132,84,124,76
134,90,154,98
108,68,120,74
126,86,164,92
144,102,166,104
138,78,142,80
112,74,112,68
140,100,140,84
90,62,110,80
142,90,140,84
140,100,148,88
128,72,126,62
108,70,118,74
174,102,164,96
122,80,146,84
152,112,184,102
112,74,114,56
108,72,110,70
190,98,182,100
108,68,112,70
160,98,170,100
122,80,128,82
174,120,184,110
102,72,106,72
150,80,160,94
122,78,134,76
122,80,122,86
122,70,138,72
140,78,146,90
114,84,120,82
128,78,138,80
112,70,118,66
150,82,156,86
150,94,156,92
112,72,116,78
148,100,154,96
142,82,142,100
124,74,126,76
146,92,152,94
162,92,164,90
122,90,116,66
128,80,124,78
108,64,118,70
112,64,112,64
124,70,132,86
178,98,166,100
128,84,126,90
128,80,156,96
170,120,176,106
142,92,158,86
110,66,130,78
122,88,140,86
112,68,114,76
118,88,130,84
158,90,154,98
156,98,174,98
154,98,144,84
132,90,148,88
114,76,110,76
136,84,150,98
152,92,156,92
140,80,142,88
118,82,150,96
140,88,132,82
148,78,148,86
142,90,132,84
122,80,128,78
124,88,136,86
142,80,124,80
128,82,136,82
168,94,150,94
128,80,120,74
134,62,158,74
168,80,168,90
142,102,188,120
158,88,166,104
114,80,136,78
102,84,120,80
178,102,168,106
132,86,140,80
132,108,128,96
110,80,116,80
112,70,126,76
134,76,134,82
148,86,132,90
108,62,124,84
148,96,160,84
144,110,148,96
132,82,144,88
110,70,134,84
188,120,180,104
118,70,130,74
112,70,118,64
160,104,150,100
142,92,136,88
138,88,160,100
120,80,138,88
126,68,120,72
148,78,134,78
142,72,134,60
152,90,138,88
152,88,150,96
102,70,110,56
142,92,134,88
136,76,140,80
122,92,124,76
108,82,126,80
174,98,160,80
138,90,148,90
158,84,134,80
124,84,142,94
162,98,144,82
154,90,152,92
136,80,138,86
110,62,122,68
144,84,146,92
122,84,128,70
112,70,134,78
128,90,150,94
132,72,132,70
122,80,136,72
228,122,200,122
194,114,178,108
128,76,132,82
106,82,112,74
132,70,120,74
108,70,124,88
142,90,126,80
138,88,142,80
172,108,146,90
114,72,122,74
142,68,142,66
140,70,138,82
132,60,130,60
156,102,170,112
130,76,150,74
118,60,118,80
112,76,136,76
144,86,134,80
108,68,122,78
104,70,134,82
190,96,164,88
208,110,194,112
108,68,110,76
102,70,122,84
152,78,140,70
120,90,130,84
108,78,106,86
118,80,124,84
110,82,124,78
104,64,126,74
112,84,130,70
110,74,110,78
110,68,108,74
122,82,124,84
134,90,134,76
172,98,136,90
134,84,140,90
174,102,142,90
90,62,122,64
150,94,154,106
104,54,102,60
102,72,114,74
126,78,146,78
190,128,180,126
152,106,140,100
114,72,114,72
132,86,138,94
148,96,134,92
118,64,102,60
140,76,144,84
140,84,152,88
122,88,116,70
128,76,132,82
116,72,138,70
116,72,116,74
112,60,124,54
118,84,126,88
96,62,120,74
192,108,184,116
114,76,134,90
114,74,120,80
134,90,144,90
102,66,112,68
134,76,140,86
126,62,130,72
142,100,148,84
110,76,130,88
154,92,136,88
98,74,110,76
122,70,134,72
104,72,114,80
154,90,154,90
162,96,140,84
110,70,140,70
96,62,104,70
128,78,118,80
132,90,126,68
110,82,126,80
122,60,126,60
132,92,120,76
144,88,138,82
92,64,114,72
112,82,120,82
138,80,136,80
138,82,124,76
144,76,162,70
128,92,132,96
142,82,128,66
142,84,138,78
120,78,130,78
152,102,140,78
130,84,140,90
178,130,150,102
132,90,138,96
154,88,134,94
160,82,134,78
196,104,164,94
156,54,182,58
126,78,136,82
118,80,118,78
142,98,130,92
132,78,142,84
132,76,140,84
130,72,146,84
108,70,134,86
122,78,92,60
130,90,150,108
142,88,136,92
118,74,124,88
134,86,146,88
136,94,116,80
100,74,126,82
132,90,138,90
162,100,140,80
148,88,170,96
142,92,162,106
120,74,132,60
82,60,118,64
160,96,148,96
108,66,126,76
152,84,166,102
132,82,124,88
134,88,142,90
122,82,116,80
140,94,140,100
104,72,108,72
112,76,136,82
154,110,126,92
158,100,160,96
130,74,112,88
132,88,132,88
156,76,148,86
164,96,162,100
154,88,158,82
134,70,136,74
132,82,131,98
90,58,106,64
164,104,162,102
134,84,136,84
118,70,100,80
154,96,142,90
154,86,136,80
152,70,170,78
138,100,134,96
136,78,144,80
104,68,118,62
170,94,196,94
136,80,126,80
120,80,138,78
84,66,108,72
132,88,140,74
136,90,132,76
94,74,116,62
144,100,164,80
112,60,110,60
114,78,128,90
156,92,162,96
122,90,128,76
104,70,132,72
108,74,102,66
122,82,122,88
142,100,136,86
142,90,140,90
134,90,126,94
76,60,104,70
154,100,160,96
158,88,142,74
106,68,120,74
124,80,120,70
204,130,176,108
180,80,158,74
144,98,154,94
120,80,140,82
122,68,94,70
124,84,130,84
130,92,162,82
118,70,120,80
156,92,170,104
160,76,150,78
122,82,126,82
124,68,120,74
112,80,132,74
152,80,148,90
118,82,128,80
170,88,182,92
156,68,156,76
98,64,120,64
132,80,130,84
110,68,116,60
174,116,186,114
162,86,152,94
110,72,116,76
136,78,124,72
102,72,98,60
120,70,122,76
152,118,138,110
114,60,124,66
128,70,126,68
122,66,112,64
150,92,164,96
128,76,120,72
134,90,148,80
162,110,130,95
110,78,154,88
98,82,104,76
144,78,142,80
154,86,180,86
152,78,158,90
112,78,130,88
128,92,140,90
144,86,142,94
148,92,140,90
136,92,140,84
158,94,150,94
132,80,138,80
156,110,164,96
128,80,132,82
120,74,124,80
146,90,144,80
140,92,138,80
126,78,128,78
136,82,150,80
182,84,176,88
116,70,126,78
102,80,100,66
130,62,144,82
132,88,140,84
118,82,136,68
140,100,162,100
134,72,124,70
164,94,160,96
138,86,150,90
152,90,156,94
108,80,120,84
122,88,130,82
156,86,144,84
136,86,124,72
120,90,126,98
132,80,134,88
126,78,134,78
126,70,150,80
134,84,124,82
128,68,124,66
156,80,158,84
168,94,144,92
146,80,154,94
144,92,138,84
140,86,142,80
122,82,126,80
128,78,114,76
140,90,158,100
104,78,108,84
136,92,132,92
132,90,122,76
116,78,114,78
114,80,120,71
98,72,124,76
102,74,124,76
132,72,130,76
120,68,120,62
104,64,110,60
118,80,116,78
120,68,126,76
154,94,120,80
132,80,142,86
124,76,146,82
112,66,112,64
120,74,122,84
196,112,176,110
122,90,136,86
108,74,120,70
124,68,134,84
132,90,130,80
128,86,124,72
118,72,130,84
128,78,132,80
110,82,138,86
132,88,148,88
136,78,134,92
132,86,146,78
122,76,124,80
106,72,116,76
168,92,174,86
108,68,120,78
102,72,110,70
130,80,136,70
158,90,158,88
82,48,98,54
102,68,120,86
140,88,138,84
154,92,162,100
128,76,130,82
146,84,150,86
128,80,134,86
130,72,136,80
144,78,146,76
168,80,162,84
130,90,140,84
128,82,138,82
108,78,132,88
130,90,132,94
110,74,122,82
148,78,138,74
112,70,120,66
128,74,126,72
122,80,130,86
164,98,166,90
106,60,120,64
150,98,160,105
120,80,142,84
108,62,118,70
102,60,92,50
112,52,98,56
126,72,122,72
128,76,144,86
162,96,164,98
102,84,122,86
138,84,138,84
142,84,146,80
160,104,174,94
172,120,176,112
158,110,164,102
154,78,162,80
150,110,140,92
168,98,164,98
118,76,118,80
120,72,106,72
148,96,164,100
124,86,124,76
144,90,146,84
118,72,136,70
122,80,135,73
106,76,134,92
126,86,130,90
160,104,154,86
122,88,134,88
124,72,134,80
106,66,116,80
186,106,176,120
124,70,124,74
144,98,132,90
138,108,152,96
142,92,182,96
102,60,110,60
136,96,124,74
98,74,112,82
132,82,134,88
124,78,132,88
142,78,148,86
122,64,120,62
128,76,126,74
106,66,122,74
100,60,104,62
140,82,120,78
112,78,106,72
120,72,130,76
126,76,139,92
102,78,122,80
120,86,128,78
158,102,162,108
134,100,150,88
126,88,132,86
152,92,158,100
128,78,112,74
176,94,148,98
114,76,116,82
102,80,124,78
118,74,120,80
206,112,180,102
144,90,166,88
124,68,118,66
110,70,116,74
128,78,134,96
112,72,108,70
156,98,152,98
118,70,106,74
122,60,110,66
126,88,124,88
118,82,122,82
112,68,138,88
140,80,126,74
136,70,142,80
148,84,164,98
122,68,122,74
176,108,190,120
158,98,186,98
106,76,130,84
132,76,144,70
126,68,128,74
98,62,110,72
138,82,124,78
130,92,142,90
138,88,122,72
138,88,126,88
152,102,160,104
112,76,126,68
136,80,154,96
112,72,118,68
108,68,128,70
126,78,136,84
118,68,134,72
166,110,162,106
132,86,128,84
122,82,136,80
108,66,125,73
144,78,148,80
162,90,168,94
112,86,132,82
132,82,154,84
148,82,142,92
124,74,128,76
140,94,126,76
136,78,110,80
122,80,128,84
130,72,148,78
180,108,162,102
136,82,132,80
168,70,156,80
126,70,122,72
128,72,122,82
102,74,128,88
178,94,160,80
136,80,136,86
144,98,140,90
142,94,140,86
134,74,134,88
126,74,134,70
128,74,136,72
142,80,130,80
114,68,132,86
154,78,138,82
144,92,150,94
134,100,140,94
164,80,152,84
152,96,150,92
124,88,134,90
116,74,130,70
134,100,154,96
142,100,154,100
180,102,182,104
124,90,124,88
132,94,126,86
136,78,130,72
148,100,138,90
226,90,266,98
152,96,164,98
112,84,114,84
114,74,128,78
120,72,104,68
132,100,122,78
128,84,124,80
114,78,114,78
170,94,168,86
128,84,154,88
132,90,120,72
104,44,110,70
114,84,133,78
148,86,124,84
162,100,158,108
148,88,150,80
156,86,144,80
168,110,168,110
144,70,140,74
118,72,136,80
154,90,150,84
132,90,156,88
130,80,152,82
142,72,144,76
188,88,198,88
164,82,158,76
134,96,136,96
122,70,110,72
132,76,134,74
138,64,150,72
148,90,170,90
102,60,110,58
112,84,124,86
148,88,126,88
136,72,148,70
106,84,122,72
148,102,122,76
140,88,144,90
142,84,152,80
126,66,144,72
134,74,120,80
154,100,152,98
124,76,116,70
142,88,146,84
130,84,150,100
122,78,118,80
98,60,98,64
130,80,124,80
128,74,142,84
122,70,116,72
162,76,160,78
146,90,144,90
148,98,142,96
164,80,174,84
156,90,140,86
182,94,176,106
118,78,134,94
140,110,166,110
160,98,170,100
122,84,138,92
122,74,116,68
98,68,106,62
158,108,180,106
146,94,140,88
142,98,158,96
146,98,142,98
134,92,118,80
108,60,106,60
116,78,124,78
162,100,152,90
114,62,104,64
132,82,144,78
174,88,150,70
174,110,170,102
126,80,122,80
118,64,124,68
140,100,150,86
102,80,124,74
146,84,130,72
108,66,104,74
142,80,144,72
114,90,118,74
138,90,154,86
138,88,136,86
118,76,114,80
108,68,110,60
136,88,124,74
144,86,146,102
156,100,120,78
110,66,110,68
122,82,132,68
120,82,124,88
122,80,132,86
124,80,120,74
132,82,130,84
124,72,126,78
142,86,154,90
108,68,124,80
122,84,122,82
160,100,140,80
124,78,134,90
134,84,186,96
134,84,144,94
168,92,164,98
136,90,156,92
104,60,108,66
136,70,130,76
98,60,100,74
128,82,134,84
124,66,124,72
152,96,172,100
164,90,162,82
108,80,120,70
122,72,128,86
144,94,158,96
132,92,136,94
124,82,130,90
112,76,146,92
112,74,116,70
122,76,130,72
134,88,172,96
158,90,154,80
124,74,114,78
108,68,114,70
122,80,156,92
112,84,118,76
122,66,140,74
108,70,118,78
118,78,118,86
132,80,152,96
102,62,118,60
133,88,124,74
122,66,128,68
118,84,116,76
110,82,124,72
132,100,144,98
146,96,134,96
106,74,118,70
138,78,134,82
126,82,136,86
122,90,130,84
134,74,124,82
154,90,170,98
160,90,142,80
102,60,104,50
134,86,146,102
112,80,113,74
110,74,124,78
142,80,134,84
138,78,134,72
146,90,142,84
130,88,130,86
168,108,164,94
154,84,126,86
136,78,146,84
136,68,138,80
98,62,124,80
118,78,116,70
144,82,130,80
138,78,138,82
148,96,138,80
142,100,144,94
168,78,164,80
122,60,118,70
138,78,120,70
142,80,144,80
112,84,126,76
122,76,120,76
116,78,124,88
154,88,160,92
128,78,120,64
138,84,146,96
160,112,158,96
134,76,124,74
136,94,132,94
132,84,132,76
128,68,120,70
112,68,114,70
152,84,164,90
178,102,164,90
146,96,156,94
118,78,114,74
134,90,138,88
134,92,142,88
130,80,116,84
184,104,164,108
126,86,154,102
104,72,128,82
106,58,124,64
154,92,148,94
118,88,106,84
114,80,112,66
132,78,132,84
98,70,120,72
104,68,120,74
128,74,118,66
142,90,152,92
120,82,120,78
142,86,146,88
126,78,122,82
176,104,180,104
100,72,108,68
172,90,172,98
158,90,146,88
132,102,140,100
136,84,112,74
162,100,138,88
122,76,124,74
136,88,130,82
140,86,132,86
138,88,146,90
162,98,152,82
122,74,116,74
136,100,138,94
134,90,130,84
172,88,184,98
124,86,130,88
146,80,142,80
126,84,126,82
124,84,148,88
116,88,136,90
152,88,166,106
142,86,160,84
140,76,132,64
158,92,158,88
174,100,156,90
152,80,150,84
112,68,122,72
166,96,172,76
152,90,152,94
148,88,136,84
106,70,124,80
184,108,150,106
142,88,148,84
144,100,154,96
122,70,132,78
124,80,126,68
122,92,126,80
164,106,184,84
106,72,114,74
132,90,110,83
122,80,134,80
148,98,136,94
186,80,200,100
162,100,148,94
130,80,108,65
112,70,110,82
132,76,140,82
132,74,140,82
114,68,124,78
144,92,142,86
156,120,142,108
120,70,132,78
122,70,116,70
190,102,182,122
106,60,108,64
122,80,134,64
140,94,138,76
154,90,116,80
124,74,118,76
118,76,138,80
200,124,196,114
146,84,140,88
108,82,142,80
114,90,140,88
138,86,144,88
122,88,126,86
128,70,120,86
138,76,122,66
138,88,144,88
158,86,146,92
122,92,132,76
116,64,110,70
136,88,158,106
156,84,146,84
128,94,146,88
106,70,122,80
154,96,158,100
120,90,136,94
136,76,146,84
108,82,120,88
108,64,104,72
98,70,92,60
140,90,130,90
134,96,118,68
126,80,108,82
124,70,136,82
134,92,134,80
102,62,112,66
118,68,124,70
152,106,150,106
108,74,120,82
172,74,144,76
122,90,120,78
144,98,144,84
170,104,201,118
118,72,104,76
118,80,132,76
108,72,116,76
132,90,148,94
102,72,104,68
122,82,126,88
122,80,120,70
122,76,126,84
116,80,112,76
144,88,158,104
134,90,124,74
200,98,184,90
140,90,134,92
184,110,184,100
122,90,124,80
128,88,124,90
106,72,116,76
150,90,144,80
96,74,116,72
158,68,144,60
180,100,185,110
112,88,140,82
122,82,138,78
158,88,134,78
88,58,102,58
142,70,118,68
110,72,96,76
148,86,144,88
102,70,114,70
128,70,122,74
160,100,170,102
124,76,132,84
128,74,116,74
160,98,154,80
120,74,130,84
156,90,140,95
98,70,104,76
140,82,142,80
136,70,138,76
120,70,108,66
140,106,144,98
128,88,118,82
102,70,120,84
144,88,150,96
142,90,140,84
144,66,126,58
162,124,158,105
136,64,136,82
132,92,144,90
120,92,144,90
138,74,130,86
176,100,176,96
150,94,154,100
106,74,122,74
102,68,110,62
164,116,154,114
108,68,126,86
138,90,144,94
174,86,164,88
158,76,142,74
134,90,144,94
152,92,129,90
102,70,100,58
152,80,150,80
162,100,172,110
142,92,152,86
82,62,96,54
172,100,196,104
108,70,124,72
118,74,126,80
142,70,166,70
166,104,154,100
118,72,112,72
128,66,106,70
130,88,132,88
148,82,154,86
112,82,128,72
134,104,156,110
136,84,150,86
162,88,136,78
174,122,220,110
108,64,130,64
142,98,132,88
128,90,134,88
136,82,144,88
110,82,114,80
108,76,116,62
108,64,116,64
152,88,164,102
104,70,102,70
132,90,142,98
150,90,166,98
90,60,94,56
134,90,154,80
104,74,102,78
148,82,156,78
120,70,162,68
130,82,140,84
154,90,132,86
182,92,192,104
110,80,122,84
134,86,140,76
114,90,120,84
98,72,118,74
110,64,116,60
178,128,180,102
148,80,150,80
108,66,102,66
112,68,124,78
110,68,102,70
142,88,126,80
198,92,176,90
112,74,114,74
138,90,138,94
152,90,136,80
104,66,112,70
144,82,130,70
120,86,118,78
186,106,184,122
130,90,116,76
140,90,142,96
198,98,184,100
134,100,176,102
180,98,168,112
160,120,180,108
146,80,142,90
108,70,112,70
112,80,124,80
142,92,146,96
154,90,160,80
144,90,146,94
132,80,134,78
136,84,124,74
128,80,122,76
122,86,134,86
148,86,154,88
154,88,156,98
108,48,125,65
148,96,168,98
100,74,106,78
116,82,124,86
170,92,166,94
120,90,120,80
156,98,134,86
122,80,142,82
108,80,104,74
156,86,156,74
124,66,142,84
106,72,120,84
96,52,104,64
134,82,138,84
122,72,142,76
108,70,110,74
156,86,160,78
134,74,176,80
168,108,158,100
196,110,208,116
114,80,122,80
108,70,102,62
118,82,146,82
160,96,144,84
132,82,100,90
102,60,104,54
108,60,106,66
130,84,138,82
122,90,126,84
130,90,128,94
106,60,128,84
110,68,108,58
114,64,98,60
146,84,122,73
188,100,194,100
132,76,128,78
108,58,104,66
132,82,138,84
114,78,140,86
110,82,118,84
126,80,130,86
120,90,136,76
150,82,132,88
152,96,126,84
128,80,124,78
158,84,146,86
162,102,162,96
142,92,160,96
136,78,136,86
126,92,156,92
140,88,170,92
108,74,126,70
132,82,124,76
108,76,110,86
102,70,138,88
148,78,146,80
122,72,146,80
130,102,136,100
130,70,126,80
98,58,94,64
146,86,162,92
128,70,114,66
112,88,134,74
138,84,138,80
136,82,144,90
138,80,134,70
144,100,134,88
130,78,134,92
138,68,148,78
132,80,150,94
140,88,166,90
142,90,182,104
96,66,114,70
182,102,180,104
108,70,112,88
128,78,116,80
114,70,142,88
102,72,114,84
114,66,110,70
132,78,146,70
164,90,150,90
120,70,124,84
112,80,116,58
128,82,132,84
112,80,122,80
120,72,120,64
108,72,114,84
122,68,124,76
130,82,120,82
122,80,134,92
142,88,144,82
128,76,126,86
142,82,136,80
192,108,194,110
144,82,154,80
152,100,200,108
170,110,196,104
132,92,120,84
122,80,130,72
134,76,124,74
148,92,160,90
166,102,176,98
92,62,108,72
164,88,140,80
150,90,150,90
98,78,110,63
142,94,132,82
188,110,128,86
170,100,170,120
130,80,138,76
170,112,176,102
108,66,130,84
154,88,156,88
128,80,142,80
112,76,120,78
150,102,154,102
106,62,108,75
140,88,136,78
130,84,150,90
122,80,136,86
140,94,142,104
146,78,126,80
180,96,154,92
132,84,134,85
124,68,116,74
110,68,116,76
142,80,172,88
118,72,114,68
152,88,142,86
112,68,96,64
134,78,136,82
112,66,112,64
122,70,130,76
124,78,126,78
90,72,98,68
152,100,164,100
170,108,146,98
120,72,136,84
144,90,118,84
128,90,138,94
150,90,168,92
118,80,120,82
152,90,161,90
138,74,134,70
120,86,132,86
118,78,124,84
124,88,134,86
98,70,126,74
134,78,134,82
164,110,174,92
118,80,120,86
166,92,150,94
100,62,112,70
140,88,144,92
124,82,134,84
122,88,138,90
120,84,110,70
112,72,108,70
168,80,180,100
122,84,118,70
162,92,174,102
112,76,110,76
118,72,114,68
110,62,110,66
114,72,114,84
140,90,146,76
134,86,134,86
128,84,154,88
198,130,196,120
122,74,126,78
166,94,174,100
144,80,144,82
132,90,144,90
124,90,118,78
146,84,148,78
162,100,142,90
124,66,130,64
124,92,126,92
108,70,124,74
142,88,136,92
136,92,142,92
118,62,116,68
124,66,118,60
102,70,112,70
138,98,138,80
128,76,124,76
94,68,98,64
172,122,189,106
90,52,96,62
128,68,130,64
120,78,124,84
136,76,142,76
202,128,188,110
138,86,138,88
140,86,136,92
148,90,156,90
122,72,134,80
130,72,116,64
150,96,140,76
124,86,126,88
128,80,140,82
126,88,140,92
122,88,122,84
148,86,126,84
114,68,118,74
154,76,176,90
138,90,128,80
128,78,122,66
120,76,124,72
154,110,142,110
168,86,174,92
132,68,138,66
162,116,172,110
122,82,144,90
106,80,120,86
130,94,138,88
102,80,126,84
188,96,170,100
132,80,144,80
166,110,168,102
108,66,110,70
132,80,134,88
122,76,149,82
162,104,166,106
132,90,150,84
146,82,120,82
98,68,132,74
128,78,128,76
124,74,136,82
168,108,194,108
144,94,140,92
128,72,122,84
98,72,130,88
122,76,134,84
92,52,112,70
148,80,154,100
152,78,168,70
112,70,120,80
138,78,150,70
118,78,126,88
154,90,145,88
122,74,130,70
112,90,122,78
134,90,134,94
122,68,136,70
146,92,148,90
100,68,112,66
92,58,130,80
128,88,128,88
166,104,154,104
126,64,130,76
136,78,134,84
122,72,136,84
98,68,120,72
122,88,132,94
112,66,110,56
168,100,154,88
114,90,134,78
104,70,122,70
92,66,96,70
182,108,164,105
108,66,110,68
108,80,128,76
132,78,122,78
142,88,134,94
102,78,120,86
142,92,130,94
162,86,172,94
110,70,104,78
124,84,132,82
142,104,146,104
118,66,108,68
122,76,116,66
142,102,144,90
138,84,150,110
134,72,136,84
104,70,106,72
114,66,122,74
104,64,110,76
156,90,134,76
136,80,118,72
104,70,108,66
118,82,130,92
134,84,126,82
108,78,106,78
162,100,172,106
134,82,140,84
148,92,138,88
124,90,136,80
128,76,140,78
172,112,190,110
124,90,124,88
140,88,170,92
124,58,130,58
126,72,118,64
146,80,142,76
114,60,110,72
132,84,140,100
162,108,168,106
154,102,164,108
152,118,192,130
182,100,162,90
128,76,124,90
106,68,120,70
120,90,130,96
128,82,130,72
124,78,122,80
168,90,156,98
138,80,134,80
118,66,128,80
132,76,156,94
150,80,158,68
190,110,166,100
132,92,162,92
102,68,114,72
184,96,178,98
124,68,136,72
128,78,112,76
162,90,162,102
178,96,156,88
194,100,178,100
120,82,142,86
126,72,124,78
116,70,122,72
154,92,134,88
118,68,114,72
124,84,158,82
102,56,100,54
140,86,146,94
130,82,114,72
116,68,120,76
122,90,120,82
132,88,110,76
122,86,120,74
124,80,142,74
112,90,124,90
102,70,122,80
136,76,126,76
134,84,138,90
120,66,120,54
142,94,140,84
126,86,138,92
120,80,136,76
128,74,124,66
136,78,134,74
148,92,144,92
104,80,124,90
129,72,126,74
128,78,130,80
130,68,148,84
128,88,114,88
152,92,124,84
150,88,172,94
122,88,120,78
134,80,130,86
122,84,138,88
102,78,120,82
142,90,132,76
144,88,142,96
152,112,140,84
136,82,150,86
142,88,158,96
102,68,100,50
106,68,130,90
122,80,134,84
128,80,132,80
144,86,146,84
128,74,130,82
198,96,164,94
188,90,182,106
128,70,136,70
180,94,174,98
162,90,176,102
98,62,116,70
132,110,134,84
176,108,150,100
124,84,138,92
170,88,176,86
142,78,156,80
126,70,106,64
102,60,110,76
102,60,106,60
124,70,138,88
132,72,136,80
120,100,122,92
134,64,120,80
148,76,160,90
108,80,120,78
102,60,116,72
168,90,162,94
148,92,150,88
116,84,138,98
124,84,124,84
94,72,110,70
134,86,118,84
142,80,146,82
156,94,156,94
180,132,176,106
102,66,126,80
114,82,106,64
176,100,158,92
112,70,118,78
110,70,114,70
114,72,114,70
140,80,124,86
128,74,116,76
172,120,132,86
112,70,134,60
130,94,132,92
156,84,140,86
150,94,154,96
84,70,96,70
118,80,144,96
122,80,138,84
130,70,136,60
168,90,172,90
142,82,192,102
210,114,214,100
164,92,166,90
146,94,136,92
108,76,116,66
116,74,138,78
158,96,164,94
154,112,140,95
136,80,146,84
116,88,130,86
100,70,120,76
108,74,106,78
174,110,160,114
92,60,112,66
158,90,176,88
130,78,124,80
156,78,155,82
152,84,128,70
90,72,136,80
126,78,128,76
108,76,120,76
116,76,102,62
122,94,118,82
120,70,130,80
108,78,110,78
130,82,134,88
128,80,124,82
126,82,126,84
134,80,148,90
126,88,136,86
116,74,130,90
98,64,116,80
146,86,158,90
134,78,132,88
152,94,160,94
102,72,114,60
142,90,156,78
138,86,148,86
148,80,174,80
126,78,110,76
178,100,178,108
162,110,160,88
110,64,122,70
120,64,120,74
124,82,130,84
112,74,116,76
116,74,126,76
130,92,134,94
112,66,126,84
148,100,168,100
92,66,110,78
108,68,114,70
96,54,106,66
102,82,106,80
116,76,114,72
102,68,122,82
166,66,152,74
154,88,142,80
152,78,144,84
136,102,152,104
142,82,150,90
124,88,136,90
104,80,114,74
148,86,152,96
120,72,134,80
162,94,140,100
146,92,152,96
122,90,136,84
98,62,100,68
178,92,166,96
100,70,98,70
120,82,120,88
128,88,132,88
118,78,122,66
100,80,118,68
110,60,120,66
120,90,118,78
114,64,120,66
118,70,120,70
122,78,126,84
140,86,142,86
122,82,110,76
120,80,122,70
124,80,130,86
90,52,100,64
110,66,104,76
152,100,142,82
132,78,146,84
126,70,112,69
124,56,136,66
180,100,168,72
146,90,164,106
98,66,106,70
134,90,124,80
138,90,142,80
112,66,122,70
154,84,136,76
142,82,156,70
122,70,118,62
154,98,158,90
140,80,138,64
118,70,126,64
108,64,128,66
142,92,134,82
134,82,126,94
112,82,116,80
134,88,134,94
132,80,134,74
108,74,120,74
110,72,114,72
122,78,146,76
120,74,142,80
150,86,150,86
142,98,178,92
140,74,118,86
128,72,116,70
122,80,128,74
120,78,164,86
124,94,136,88
104,68,108,60
128,88,132,84
134,88,130,90
142,82,136,88
88,60,84,74
150,84,156,92
158,106,184,108
112,80,112,80
126,66,136,78
116,74,136,68
102,80,114,76
158,84,184,88
118,72,106,68
158,116,168,116
174,80,194,70
112,78,118,72
136,74,138,78
126,68,124,70
112,64,136,70
138,82,140,86
124,80,125,80
118,80,124,86
148,98,146,104
118,84,130,90
118,78,124,86
112,76,130,78
148,90,156,92
130,84,158,74
132,90,158,86
126,82,116,78
128,70,136,84
118,82,124,80
112,70,124,58
130,90,110,78
90,76,114,80
130,88,156,100
126,82,154,94
168,98,176,106
122,100,120,90
110,66,106,82
126,82,124,76
86,68,110,74
126,88,142,92
174,84,148,72
132,96,142,98
84,60,90,55
130,84,124,74
162,98,142,96
118,76,124,70
128,70,138,86
104,68,108,70
162,98,156,104
136,78,142,80
138,100,142,100
128,80,148,92
126,78,134,80
132,86,124,92
150,82,144,82
124,90,130,98
112,82,128,74
124,84,126,80
142,82,146,78
202,120,185,125
150,100,156,102
108,70,102,70
124,78,132,80
134,94,144,84
124,76,124,74
118,82,120,76
154,94,162,100
142,90,138,82
120,74,126,80
136,72,140,92
148,98,144,96
124,68,128,88
132,92,148,94
190,102,206,108
168,92,164,80
118,88,118,76
148,80,134,82
92,72,94,70
102,68,104,70
122,92,124,78
112,80,110,70
102,80,120,76
134,80,134,90
128,76,132,86
110,70,114,82
138,86,130,80
106,64,110,62
134,78,138,84
172,96,192,96
110,72,108,66
128,78,134,84
138,86,150,94
112,68,124,64
128,72,136,80
124,90,126,80
118,70,130,86
136,84,138,88
120,74,134,72
190,88,184,106
112,74,122,72
140,90,126,80
108,68,104,70
122,70,130,80
104,64,112,66
174,110,175,110
114,70,116,86
104,68,122,76
130,80,132,74
118,76,126,74
138,94,148,92
158,88,152,88
158,88,162,92
122,100,122,85
126,70,110,60
174,100,154,80
152,88,144,80
130,72,134,84
168,98,166,106
128,84,128,84
130,90,136,80
136,94,128,78
138,88,130,92
152,94,154,96
94,64,110,70
132,80,120,80
104,84,134,88
128,76,160,100
122,90,120,76
116,68,116,72
124,90,124,82
168,96,172,92
112,88,124,86
124,84,124,84
96,66,104,60
142,80,124,80
116,78,128,70
110,66,120,76
122,100,116,68
112,76,104,70
148,80,138,78
134,78,120,84
98,70,120,78
148,86,140,86
134,98,134,92
128,78,124,72
134,78,130,78
132,86,142,84
144,80,142,82
122,90,126,86
128,80,134,80
100,72,116,78
138,82,136,86
102,60,110,60
160,94,148,82
146,104,146,78
148,106,176,100
128,60,126,62
118,72,104,70
116,74,116,76
138,76,138,94
132,78,126,80
124,92,134,90
124,80,130,80
104,68,114,76
122,72,134,82
132,76,132,90
118,76,130,78
80,58,92,58
146,100,138,88
92,66,120,78
144,88,142,82
114,78,128,74
134,90,149,80
230,120,194,118
218,132,214,120
128,60,144,64
