Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
134,94,138,88
106,72,116,78
110,84,120,80
122,92,144,98
110,72,116,80
104,80,102,65
120,74,126,76
134,80,130,84
112,82,128,78
94,72,122,76
142,78,140,82
104,58,122,68
154,72,152,88
120,90,124,84
134,72,138,82
88,64,92,56
124,74,140,78
108,76,118,80
138,82,152,86
202,92,192,102
108,70,122,80
106,70,102,60
124,84,144,108
128,84,134,82
98,60,108,70
140,82,146,84
106,66,106,54
128,78,122,74
108,68,124,76
128,84,126,84
162,82,152,94
118,72,124,80
116,74,120,82
152,84,160,94
116,68,110,66
148,90,162,106
112,76,136,80
174,108,174,112
162,90,192,100
116,78,120,86
116,70,112,78
124,80,132,72
146,88,152,82
174,112,180,112
104,70,114,58
154,98,132,98
154,82,146,88
146,94,154,96
130,90,116,82
158,92,154,102
108,68,118,78
138,88,160,98
146,88,140,90
124,70,120,66
158,100,144,98
102,74,120,70
168,108,156,96
80,54,94,60
122,80,118,72
140,100,146,102
114,80,122,84
192,118,194,134
112,70,128,78
118,88,116,86
128,76,134,80
102,74,126,80
132,80,136,84
112,66,116,70
136,82,136,80
122,100,162,100
172,140,178,132
176,98,174,106
120,72,116,80
148,94,142,84
114,70,110,74
162,94,154,94
102,62,112,58
114,70,124,70
110,90,114,78
156,84,140,82
132,94,142,90
146,80,136,76
136,76,154,68
136,72,136,66
120,76,116,70
110,66,110,74
158,86,160,98
144,86,156,92
144,86,120,82
110,70,106,74
122,70,146,64
92,60,118,86
106,82,132,84
138,90,136,86
120,100,130,82
170,96,150,98
134,90,122,78
102,62,122,72
128,76,128,76
140,90,142,92
154,84,140,76
118,82,132,80
132,102,142,90
114,72,130,66
132,70,156,72
126,90,138,86
122,90,136,86
132,86,130,80
134,90,152,82
138,72,126,74
114,82,132,86
108,72,110,78
142,86,154,94
136,90,144,106
146,72,128,70
128,78,138,82
112,76,124,78
102,60,98,60
116,72,136,82
104,64,104,66
116,82,146,78
164,110,146,102
154,80,142,82
132,80,138,82
158,88,172,98
130,84,126,80
122,70,126,80
134,82,150,88
152,110,156,102
148,86,154,84
148,82,166,84
124,76,116,78
150,100,128,80
152,98,140,96
118,68,116,62
118,74,116,72
144,90,130,80
136,80,130,84
110,76,98,70
110,86,122,82
122,90,136,72
134,76,136,76
92,50,118,70
174,110,200,100
152,84,144,84
144,84,144,86
118,76,108,76
128,76,120,74
128,82,140,90
138,88,154,82
104,68,94,68
118,66,124,80
120,74,150,84
94,66,124,66
144,100,158,88
94,54,104,58
164,96,160,102
98,66,118,68
132,70,134,70
118,78,108,72
152,78,142,84
156,112,176,116
114,66,108,72
128,78,110,72
124,80,138,82
138,98,152,94
152,92,146,84
192,112,206,110
108,66,100,54
96,54,102,58
102,78,126,78
110,82,130,80
122,76,140,84
158,88,156,102
148,86,152,88
122,90,122,88
154,90,142,78
142,90,162,90
128,94,138,90
132,68,138,78
104,66,113,70
162,84,160,80
140,82,126,76
126,72,122,64
122,82,120,76
162,80,154,92
150,106,168,102
134,74,126,86
140,82,142,86
108,64,110,76
122,80,142,86
108,78,116,84
138,72,134,76
124,84,140,90
116,84,144,80
132,92,124,80
158,92,158,96
118,92,120,74
116,74,120,75
148,86,112,72
166,92,168,92
128,82,122,78
150,82,164,86
134,78,120,78
134,76,136,80
166,82,150,84
134,80,142,90
104,64,96,60
138,48,128,54
128,80,134,82
128,82,122,84
138,84,124,84
116,58,108,68
138,78,124,88
148,68,146,70
122,84,112,84
134,64,130,68
116,80,144,94
132,80,126,72
122,100,150,92
122,90,124,74
128,76,144,80
136,82,136,86
150,90,188,102
118,84,136,86
182,88,180,84
154,92,160,94
142,98,146,96
130,90,136,86
160,108,154,102
110,72,110,78
104,72,126,78
158,86,122,66
132,100,126,82
156,88,162,90
130,90,140,60
128,76,134,84
150,104,142,90
136,78,142,88
106,58,102,58
126,84,138,90
142,72,166,80
124,82,134,80
156,84,134,82
108,72,114,70
112,88,144,86
172,120,184,120
154,92,138,92
142,78,150,44
94,62,120,58
98,70,114,70
112,74,102,72
140,100,120,84
126,78,132,82
114,70,106,74
112,82,138,76
140,104,138,102
112,76,116,74
128,84,146,84
178,88,168,84
